id,prob
100001,0.5565858
100002,0.7961936
100003,0.82871765
100004,0.3140556
100005,0.83820283
100006,0.28304547
100007,0.75421464
100008,0.8309819
100009,0.7554087
100010,0.83033794
100011,0.30334914
100012,0.66114825
100013,0.35301033
100014,0.47390053
100015,0.7462201
100016,0.81021464
100017,0.3160497
100018,0.71304756
100019,0.6828659
100020,0.7789195
100021,0.68053025
100022,0.83192027
100023,0.75036514
100024,0.8298482
100025,0.3965591
100026,0.7636431
100027,0.7885364
100028,0.8280124
100029,0.69879633
100030,0.41547692
100031,0.82047224
100032,0.530072
100033,0.7427906
100034,0.8029554
100035,0.5096292
100036,0.8451605
100037,0.7531306
100038,0.41721275
100039,0.80360067
100040,0.36965066
100041,0.7602336
100042,0.81268823
100043,0.8079045
100044,0.5599313
100045,0.48624548
100046,0.4824676
100047,0.7331103
100048,0.5650828
100049,0.8344778
100050,0.5166366
100051,0.84539205
100052,0.26665065
100053,0.46207625
100054,0.44359958
100055,0.78520054
100056,0.827611
100057,0.5668057
100058,0.62293786
100059,0.32660824
100060,0.8437705
100061,0.6110537
100062,0.52678096
100063,0.83947396
100064,0.83856815
100065,0.84211457
100066,0.34167355
100067,0.27347592
100068,0.77905726
100069,0.8343118
100070,0.6749927
100071,0.736807
100072,0.5252374
100073,0.80881447
100074,0.8058997
100075,0.8293134
100076,0.7403014
100077,0.8256492
100078,0.67801714
100079,0.8411025
100080,0.77336884
100081,0.4314271
100082,0.7137047
100083,0.8426632
100084,0.24981575
100085,0.66813433
100086,0.2584574
100087,0.27173573
100088,0.76893
100089,0.30029806
100090,0.7954911
100091,0.6423665
100092,0.5115365
100093,0.44249266
100094,0.83452654
100095,0.76476014
100096,0.83396477
100097,0.48637167
100098,0.8288212
100099,0.55671906
100100,0.49425548
100101,0.60014194
100102,0.81964886
100103,0.8346968
100104,0.6745416
100105,0.6899609
100106,0.23995873
100107,0.79594123
100108,0.8310476
100109,0.78631353
100110,0.2606487
100111,0.7714511
100112,0.7664364
100113,0.6912105
100114,0.6060664
100115,0.31294844
100116,0.7555578
100117,0.8215834
100118,0.64028513
100119,0.7869959
100120,0.84374595
100121,0.8314835
100122,0.8437118
100123,0.7769015
100124,0.41908997
100125,0.80941814
100126,0.82657665
100127,0.59125704
100128,0.8414099
100129,0.79340893
100130,0.40196308
100131,0.82068956
100132,0.7924594
100133,0.79508036
100134,0.79396313
100135,0.6570592
100136,0.805252
100137,0.7649858
100138,0.30140975
100139,0.7864627
100140,0.84620714
100141,0.84160495
100142,0.65409714
100143,0.7755821
100144,0.64013785
100145,0.6802223
100146,0.8457131
100147,0.6600057
100148,0.8235329
100149,0.7502639
100150,0.79617816
100151,0.8457356
100152,0.40740052
100153,0.8299438
100154,0.83862776
100155,0.36194828
100156,0.38306153
100157,0.26764056
100158,0.79065645
100159,0.47773892
100160,0.51633716
100161,0.69809616
100162,0.72406256
100163,0.511699
100164,0.8452444
100165,0.7407094
100166,0.7595014
100167,0.4591904
100168,0.70547616
100169,0.83581924
100170,0.7543008
100171,0.6651452
100172,0.64620966
100173,0.6095166
100174,0.59718716
100175,0.84526724
100176,0.41738734
100177,0.6654179
100178,0.5519353
100179,0.7735889
100180,0.37916133
100181,0.84324926
100182,0.76322156
100183,0.8219133
100184,0.41431016
100185,0.2769319
100186,0.2872266
100187,0.78119576
100188,0.8448322
100189,0.7574049
100190,0.534002
100191,0.64657533
100192,0.8217685
100193,0.6749567
100194,0.8006389
100195,0.70021176
100196,0.49407157
100197,0.7821554
100198,0.7836387
100199,0.5578757
100200,0.45344225
100201,0.5102433
100202,0.8408944
100203,0.81045914
100204,0.42170066
100205,0.4601682
100206,0.46607086
100207,0.67608005
100208,0.8434608
100209,0.4783862
100210,0.8410064
100211,0.65659696
100212,0.49354497
100213,0.8281913
100214,0.40236512
100215,0.8383232
100216,0.39554003
100217,0.3867133
100218,0.26711053
100219,0.515313
100220,0.7809545
100221,0.840098
100222,0.36635545
100223,0.6553798
100224,0.6763772
100225,0.8439247
100226,0.57730985
100227,0.27611876
100228,0.83663416
100229,0.29527915
100230,0.318962
100231,0.57935923
100232,0.84390795
100233,0.2227483
100234,0.4681288
100235,0.7440249
100236,0.4958125
